full_text,tweet_id,created_at,screen_name,original_user_id,retweeted_user_ID,collected_at,reply_to_id,reply_to_user,expandedURL
"Have a great day Tweeps.. 
Peace &amp; Love, God Bless.. 
✌️💚🫰 https://t.co/wzhcuLlcEJ",1.676173805482553e+18,2023-07-04 10:19:11+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.832978,,,[]
"Touching &amp; Inspiring. 

This isn't just a talent, this's Blessing. 
#PutriAriani #AGT 
https://t.co/xPkuLPXZUu",1.6674037971808584e+18,2023-06-10 05:30:18+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.832997,,,"[{'url': 'https://t.co/xPkuLPXZUu', 'expanded_url': 'https://youtu.be/Wyb0ExKOE4w', 'display_url': 'youtu.be/Wyb0ExKOE4w', 'indices': [91, 114]}]"
"Follow the value, not the person.",1.6644783072436756e+18,2023-06-02 03:45:27+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833006,,,[]
"Now, war is like a hobby, people enjoy killing each other.",1.661787784536019e+18,2023-05-25 17:34:17+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833013,,,[]
"Have a great day Tweeps.. 
Stay safe, stay healthy.. 
Peace &amp; Love, God Bless You 💚 
#Weekend ☕ https://t.co/YnaELiyNI7",1.6500370260692828e+18,2023-04-23 07:20:57+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833020,,,[]
"Eid Mubarak/Happy Eidul Fitr' to the people who celebrate it, God bless, peace. ✌️🕌 https://t.co/Qiaep4fFT0",1.6496250164416676e+18,2023-04-22 04:03:47+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833026,,,[]
"This is for a couple 👫, so I can't wear it. 🤷🙄 https://t.co/DYHWZP2awJ",1.6494065720225956e+18,2023-04-21 13:35:45+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833032,,,[]
"Cat Massage 🐈 
#Relaxing 🐱 https://t.co/npjDWKKEEe",1.6464940466749071e+18,2023-04-13 12:42:25+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833039,,,[]
The world without superpowers is the real democracy.,1.6428837161239716e+18,2023-04-03 13:36:15+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833045,,,[]
"Happy Weekend Tweeps.. 
God Bless You.. 💚🫰 https://t.co/CZk5fNDVth",1.6374641399154934e+18,2023-03-19 14:40:48+00:00,BellenyFufu,254185636.0,,2023-08-13 13:32:00.833055,,,[]
